theater_id,longitude,latitude,city,state,zipcode
1107,-80.989288,35.101517,Charlotte,NC,28273
1109,-112.27374,33.463428,Avondale,AZ,85323
1108,-80.834904,35.213101,Charlotte,NC,28204
1102,-92.241463,38.580399,Jefferson City,MO,65109
1113,-115.52876,32.770676,El Centro,CA,92243
1115,-73.83701,40.75585,Flushing,NY,11354
1087,-76.6757,39.98238,York,PA,17402
1110,-80.742401,32.42247,Beaufort,SC,29906
1119,-118.16783,33.807213,Signal Hill,CA,90755
1057,-76.483322,39.33239,Rosedale,MD,21237
1085,-82.11652,36.63588,Bristol,VA,24202
110,-117.46361,33.914719,Riverside,CA,92503
1084,-111.57584,35.223331,Flagstaff,AZ,86004
1126,-71.060478,42.327961,Dorchester,MA,02125
1120,-80.027075,32.795545,Charleston,SC,29407
1121,-87.127319,37.719315,Owensboro,KY,42301
1118,-66.07188,18.42684,San Juan,PR,00918
111,-118.0133,33.750256,Westminster,CA,92683
1123,-87.850174,41.172596,Bourbonnais,IL,60914
1098,-75.028412,39.935669,Cherry Hill,NJ,08002
1125,-122.44702,37.782257,San Francisco,CA,94118
1124,-108.59233,39.08596,Grand Junction,CO,81505
1127,-76.069237,43.045792,DeWitt,NY,13214
1112,-110.98976,32.15375,Tucson,AZ,85706
1128,-122.2129,38.136486,Vallejo,CA,94591
1129,-77.052582,39.035542,Wheaton,MD,20902
112,-118.87419,34.182625,Thousand Oaks,CA,91360
1130,-86.89312,36.134159,Nashville,TN,37209
1131,-78.812096,42.790466,Buffalo,NY,14219
1141,-82.574356,27.463388,Bradenton,FL,34205
1132,-80.674644,35.419713,Concord,NC,28027
1134,-104.77771,39.764637,Aurora,CO,80011
1136,-80.25539,26.23946,Coral Springs,FL,33071
1135,-81.790421,26.491123,Fort Myers,FL,33913
1137,-74.227783,40.147621,Howell,NJ,07731
1138,-69.98002,43.93842,Topsham,ME,04086
114,-117.93148,33.916073,Fullerton,CA,92835
1140,-71.22894,42.01262,Mansfield,MA,02048
1142,-87.64116,41.86686,Chicago,IL,60607
1133,-80.87305,35.59451,Mooresville,NC,28117
1143,-110.93728,32.42561,Oro Valley,AZ,85737
1145,-116.98512,32.83952,Santee,CA,92071
1157,-91.019234,30.43948,Baton Rouge,LA,70816
1147,-87.764252,43.711769,Kohler,WI,53044
1149,-80.423721,37.168324,Christiansburg,VA,24073
1148,-94.18157,36.30581,Rogers,AR,72758
113,-118.53696,34.429134,Santa Clarita,CA,91350
1152,-78.763435,42.914886,Cheektowaga,NY,14225
1153,-97.70874,30.306004,Austin,TX,78723
1154,-74.57343,40.38204,Monmouth Jct,NJ,08852
1155,-80.85369,35.34679,Charlotte,NC,28216
1156,-81.586365,28.520824,Winter Garden,FL,34787
1168,-80.20118,26.66385,Wellington,FL,33414
116,-118.59945,34.18998,Canoga Park,CA,91303
115,-117.198,33.557571,Murrieta,CA,92562
1160,-95.50827,29.852411,Houston,TX,77040
1164,-79.838371,40.54586,Tarentum,PA,15084
1162,-86.804466,33.225689,Alabaster,AL,35007
1166,-88.265358,42.361271,Mchenry,IL,60050
1165,-87.80494,42.10671,Northbrook,IL,60062
1167,-83.34086,40.23074,Marysville,OH,43040
1169,-88.333092,42.156265,Algonquin,IL,60102
1146,-111.98746,40.61105,West Jordan,UT,84084
1159,-84.683434,34.034866,Acworth,GA,30101
1170,-88.32581,41.69234,Oswego,IL,60543
1171,-104.96501,39.59486,Centennial,CO,80122
1172,-73.9310055,40.8172327,Bronx,NY,10451
1174,-89.097679,30.44689,Gulfport,MS,39503
1177,-74.28497,39.71047,Manahawkin,NJ,08050
1178,-80.47569,25.45232,Florida City,FL,33034
117,-118.05516,33.86932,Cerritos,CA,90703
1180,-118.55508,34.23403,Northridge,CA,91324
1183,-76.2364,43.18766,Liverpool,NY,13090
1185,-83.69113,32.61862,Warner Robins,GA,31093
1184,-81.64426,28.24956,Davenport,FL,33837
1186,-84.4603709,34.2379951,Canton,GA,30114
1187,-117.26584,33.06663,Encinitas,CA,92024
1188,-119.72599,36.84002,Clovis,CA,93612
1189,-111.73894,33.30795,Gilbert,AZ,85295
1190,-121.086269,38.928965,Auburn,CA,95603
118,-119.15649,34.224163,Oxnard,CA,93036
1191,-87.95186,42.57202,Kenosha,WI,53142
1192,-87.92074,43.32195,Grafton,WI,53024
1193,-75.451571,40.1856597,Collegeville,PA,19426
1194,-104.7091322,40.4233142,Greeley,CO,80634
1197,-76.24735,40.04728,Lancaster,PA,17601
1252,-84.8507,39.831001,Richmond,IN,47374
1258,-80.251185,26.094541,Davie,FL,33324
119,-117.89194,33.6884,Costa Mesa,CA,92626
